Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 3 [16000/50000 (32%)], Loss: 2.137450, Top1:45.705, Top5:74.639
Train Epoch: 3 [16640/50000 (33%)], Loss: 1.988064, Top1:45.744, Top5:74.557
Train Epoch: 3 [17280/50000 (35%)], Loss: 1.920722, Top1:45.837, Top5:74.671
Train Epoch: 3 [17920/50000 (36%)], Loss: 2.117849, Top1:45.924, Top5:74.794
Train Epoch: 3 [18560/50000 (37%)], Loss: 2.113228, Top1:46.000, Top5:74.812
Train Epoch: 3 [19200/50000 (38%)], Loss: 2.198133, Top1:45.961, Top5:74.689
Train Epoch: 3 [19840/50000 (40%)], Loss: 1.773330, Top1:46.066, Top5:74.799
Train Epoch: 3 [20480/50000 (41%)], Loss: 2.120462, Top1:46.043, Top5:74.825
Train Epoch: 3 [21120/50000 (42%)], Loss: 1.896079, Top1:46.087, Top5:74.877
Train Epoch: 3 [21760/50000 (43%)], Loss: 1.992104, Top1:46.142, Top5:74.922
Train Epoch: 3 [22400/50000 (45%)], Loss: 1.914237, Top1:46.238, Top5:74.933
Train Epoch: 3 [23040/50000 (46%)], Loss: 2.157964, Top1:46.161, Top5:74.905
Train Epoch: 3 [23680/50000 (47%)], Loss: 2.071387, Top1:46.163, Top5:74.912
Train Epoch: 3 [24320/50000 (49%)], Loss: 1.894723, Top1:46.166, Top5:74.951
Train Epoch: 3 [24960/50000 (50%)], Loss: 1.854766, Top1:46.276, Top5:75.064
Train Epoch: 3 [25600/50000 (51%)], Loss: 1.984971, Top1:46.259, Top5:75.039
Train Epoch: 3 [26240/50000 (52%)], Loss: 1.779778, Top1:46.297, Top5:75.080
Train Epoch: 3 [26880/50000 (54%)], Loss: 2.212844, Top1:46.285, Top5:75.078
Train Epoch: 3 [27520/50000 (55%)], Loss: 2.071831, Top1:46.230, Top5:75.105
Train Epoch: 3 [28160/50000 (56%)], Loss: 1.972751, Top1:46.361, Top5:75.159
Train Epoch: 3 [28800/50000 (58%)], Loss: 1.695720, Top1:46.414, Top5:75.173
Train Epoch: 3 [29440/50000 (59%)], Loss: 1.957610, Top1:46.465, Top5:75.220
